instant,dteday,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_check,season,time_cluster
1,2011-01-01,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,16,1,
2,2011-01-01,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,40,1,Pagi
3,2011-01-01,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,32,1,Pagi
4,2011-01-01,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,13,1,Pagi
5,2011-01-01,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,1,Pagi
6,2011-01-01,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,1,Pagi
7,2011-01-01,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2,1,Pagi
8,2011-01-01,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,3,1,Siang
9,2011-01-01,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,8,1,Siang
10,2011-01-01,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,14,1,Siang
11,2011-01-01,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,36,1,Siang
12,2011-01-01,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,56,1,Siang
13,2011-01-01,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,84,1,Siang
14,2011-01-01,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,94,1,Sore
15,2011-01-01,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,106,1,Sore
16,2011-01-01,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,110,1,Sore
17,2011-01-01,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,93,1,Sore
18,2011-01-01,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,67,1,Sore
19,2011-01-01,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,35,1,Sore
20,2011-01-01,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,37,1,Malam
21,2011-01-01,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,36,1,Malam
22,2011-01-01,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,34,1,Malam
23,2011-01-01,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,28,1,Malam
24,2011-01-01,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,39,1,Malam
25,2011-01-02,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,17,1,
26,2011-01-02,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,17,1,Pagi
27,2011-01-02,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,9,1,Pagi
28,2011-01-02,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,6,1,Pagi
29,2011-01-02,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,3,1,Pagi
30,2011-01-02,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2,1,Pagi
31,2011-01-02,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,1,1,Siang
32,2011-01-02,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,8,1,Siang
33,2011-01-02,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,20,1,Siang
34,2011-01-02,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,53,1,Siang
35,2011-01-02,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,70,1,Siang
36,2011-01-02,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,93,1,Siang
37,2011-01-02,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,75,1,Sore
38,2011-01-02,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,59,1,Sore
39,2011-01-02,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,74,1,Sore
40,2011-01-02,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,76,1,Sore
